iter	RMSE
179	0.9171565337
180	0.9143201296
181	0.9076548991
182	0.9012337899
183	0.899210318
184	0.8923704817
185	0.8864381553
186	0.8830946584
187	0.8771378964
188	0.8753189808
189	0.8733288526
190	0.8682845443
191	0.8662708648
192	0.8644180977
193	0.862519071
194	0.8606439705
195	0.8528594168
196	0.8512048791
197	0.8434083161
198	0.8388774912
199	0.831726772
200	0.8297120326
201	0.8281401583
202	0.8266112949
203	0.8215790829
204	0.8199428298
205	0.8136372753
206	0.8122260801
207	0.8061802925
208	0.8048019418
209	0.7983793552
210	0.7969604035
211	0.7938380046
212	0.7923516109
213	0.7909063868
214	0.7873824982
215	0.7800073303
216	0.7785705456
217	0.7771996159
218	0.7758482242
219	0.7688153954
220	0.7674559
221	0.759593142
222	0.7582791488
223	0.7569771142
224	0.7556529253
225	0.7544211393
226	0.7487787801
227	0.7415431447
228	0.7369407556
229	0.7314649848
230	0.7267124359
231	0.7256402657
232	0.7207669446
233	0.7169336862
234	0.7146278598
235	0.7136292813
236	0.7120970222
237	0.7065647633
238	0.7013549715
239	0.696641075
240	0.6956850517
241	0.6942334174
242	0.6901261289
243	0.684886302
244	0.6839032716
245	0.6804894427
246	0.675833629
247	0.6706892232
248	0.6649037034
249	0.6605739849
250	0.6565575615
251	0.6533721125
252	0.6520333842
253	0.6502394487
254	0.6457403853
255	0.6444935509
256	0.6391670503
257	0.6338091944
258	0.6284174812
259	0.6253849281
260	0.6242211993
261	0.6192833079
262	0.6181612585
263	0.6134075334
264	0.6121721877
265	0.6114033302
266	0.6106610784
267	0.6096045454
268	0.6058197424
269	0.6038329185
270	0.6030452271
271	0.599367811
272	0.5957922446
273	0.5913212801
274	0.5906252822
275	0.5866695577
276	0.5828616713
277	0.5811365969
278	0.5768557797
279	0.5762192671
280	0.575312757
281	0.5716796752
282	0.5708072834
283	0.5668096708
284	0.5628846952
285	0.5592592058
286	0.5570806677
287	0.5541914284
288	0.5507736444
289	0.549317748
290	0.5487503754
291	0.5474970374
292	0.5462523248
293	0.5449367517
294	0.5436454148
295	0.5411296541
296	0.5399083365
297	0.536566305
298	0.5335241748
299	0.5306305024
300	0.5276853267
301	0.5248884278
302	0.5222243356
303	0.5196093751
304	0.5170889841
305	0.5161566183
306	0.5134753634
307	0.5123917217
308	0.5091531331
309	0.5068379595
310	0.5056730681
311	0.5038921008
312	0.5028724987
313	0.5008510841
314	0.4998856094
315	0.4989415239
316	0.4973835484
317	0.4965922446
318	0.4961551107
319	0.4957271624
320	0.4936696768
321	0.4919806318
322	0.4916203005
323	0.4907611582
324	0.4886042855
325	0.48703119
326	0.4859808007
327	0.4856443782
328	0.4847817514
329	0.4833090676
330	0.4815788678
331	0.4811715862
332	0.4806144321
333	0.4786684876
334	0.4779393729
335	0.476067967
336	0.4753660273
337	0.4750702649
338	0.474322158
339	0.4718485697
340	0.4712444841
341	0.4691442667
342	0.4675258527
343	0.4654844219
344	0.4636024469
345	0.463225979
346	0.4610887309
347	0.4589652933
348	0.4586003071
349	0.4564432264
350	0.4543799143
351	0.452773585
352	0.4525273614
353	0.4522780784
354	0.4500045606
355	0.4477116392
356	0.4474576043
357	0.4455358184
358	0.4436411113
359	0.44213067
360	0.4414595701
361	0.4412542106
362	0.439558161
363	0.4376382951
364	0.4361761031
365	0.4354133268
366	0.4340039679
367	0.4322365401
368	0.4306912799
369	0.428823486
370	0.4273313684
371	0.4263405297
372	0.4243464679
373	0.4224204391
374	0.4207010091
375	0.4205167199
376	0.4191943651
377	0.4178780651
378	0.4161235636
379	0.4143428798
380	0.4127731164
381	0.4125974017
382	0.4110262241
383	0.4093103072
384	0.4091602136
385	0.4075191447
386	0.405935048
387	0.4042284946
388	0.4028156405
389	0.4015198397
390	0.4002078983
391	0.3989430197
392	0.3974170392
393	0.3962051475
394	0.395033368
395	0.3949031951
396	0.3936889362
397	0.3924052859
398	0.3922598983
399	0.3912965022
400	0.3911759765
401	0.3899903733
402	0.3888311917
403	0.387780351
404	0.3876421714
405	0.3862406673
406	0.3849776069
407	0.3834908537
408	0.3821129309
409	0.3808139402
410	0.3794360966
411	0.3784047087
412	0.3781581562
413	0.376775625
414	0.3758998725
415	0.3757513636
416	0.3745360057
417	0.3735694927
418	0.3723027187
419	0.371266624
420	0.3702794552
421	0.369185807
422	0.3682682788
423	0.3681212385
424	0.3671357191
425	0.3661079483
426	0.3653150383
427	0.3651699187
428	0.3642839156
429	0.364200134
430	0.3637094958
431	0.3631716358
432	0.3623212724
433	0.3618444399
434	0.361066204
435	0.3597239491
436	0.3593126379
437	0.3587109821
438	0.3586352024
439	0.3574338147
440	0.356549228
441	0.3558290225
442	0.3555682783
443	0.3547106739
444	0.3539353632
445	0.3534177355
446	0.3529851268
447	0.3523494213
448	0.3519235436
449	0.3507755071
450	0.3505365819
451	0.3499426559
452	0.3489181988
453	0.3485690944
454	0.3478033013
455	0.3468135004
456	0.3464443684
457	0.3455949569
458	0.345233204
459	0.3445106778
460	0.3434051016
461	0.3422750084
462	0.3414414453
463	0.3412234408
464	0.3409102267
465	0.3406172999
466	0.3395937824
467	0.339355285
468	0.3390093911
469	0.3379334805
470	0.3371497871
471	0.3365862285
472	0.3363584477
473	0.336026639
474	0.3358243046
475	0.335613738
476	0.3351854564
477	0.3342211235
478	0.3340353698
479	0.3336768988
480	0.3326401335
481	0.3323141986
482	0.3314580307
483	0.3312547403
484	0.3307567502
485	0.3305074068
486	0.3294903566
487	0.3285984123
488	0.3275619448
489	0.326494198
490	0.3257674222
491	0.3248068917
492	0.3242292015
493	0.3240367391
494	0.3231334037
495	0.3228968212
496	0.3221287886
497	0.3213223208
498	0.321150441
499	0.3204634036
500	0.3199053974
501	0.3189957421
502	0.3179182381
503	0.3176218877
504	0.3168824041
505	0.3163065536
506	0.3160063663
507	0.3158434686
508	0.3153238392
509	0.3151486428
510	0.3148327806
511	0.3146789691
512	0.3134886882
513	0.3128265373
514	0.312494718
515	0.3121223362
516	0.3115270803
517	0.3102382491
518	0.3094277756
519	0.3087137291
520	0.3081402445
521	0.3071229166
522	0.3061519421
523	0.3048285542
524	0.3037518345
525	0.302507843
526	0.3017581701
527	0.3008827527
528	0.3005449803
529	0.3001078888
530	0.2990615375
531	0.2985442927
532	0.2979134408
533	0.2974178692
534	0.2969519787
535	0.2966000059
536	0.2955838125
537	0.294870755
538	0.2944420297
539	0.293560106
540	0.2932765823
541	0.2930400598
542	0.2927100432
543	0.2921104847
544	0.2912060009
545	0.2907745996
546	0.2902393653
547	0.2895367696
548	0.2893257199
549	0.2890507717
550	0.2884540898
551	0.2875036143
552	0.2863565863
553	0.285789336
554	0.2847941183
555	0.2841163975
556	0.2831818191
557	0.2823861178
558	0.2813827122
559	0.2808974904
560	0.2807341161
561	0.2798003321
562	0.2787264463
563	0.2777314592
564	0.2772920627
565	0.2771430964
566	0.2764206443
567	0.2762738508
568	0.2753992365
569	0.2749043299
570	0.2740703567
571	0.2731517828
572	0.2730078587
573	0.2723236991
574	0.2717011307
575	0.2712132875
576	0.2709178478
577	0.2700391649
578	0.2698041499
579	0.269044638
580	0.2686878465
581	0.2684322285
582	0.2679139756
583	0.2676800764
584	0.2671401633
585	0.2666585091
586	0.2658468048
587	0.2654262112
588	0.2646432975
589	0.264488111
590	0.2642027536
591	0.2636919377
592	0.2634782469
593	0.2630009815
594	0.2621222464
595	0.2616923997
596	0.2613985526
597	0.2609381719
598	0.2606256639
599	0.2598915497
600	0.2590617927
601	0.2588623819
602	0.2585943654
603	0.2578935138
604	0.2576705445
605	0.2568537586
606	0.2566243537
607	0.2563702748
608	0.256224991
609	0.2556706579
610	0.2551740681
611	0.2548063488
612	0.2544970288
613	0.2542662644
614	0.2534682707
615	0.2530509164
616	0.2530123251
617	0.2522440648
618	0.2520070722
619	0.251678864
620	0.251069532
621	0.2506367114
622	0.2504547907
623	0.2497387008
624	0.2493861063
625	0.2491355312
626	0.2485965166
627	0.2484302986
628	0.2481103567
629	0.2475952817
630	0.2470770268
631	0.2462249184
632	0.2458091509
633	0.2455088195
634	0.2449758328
635	0.2445838652
636	0.244388583
637	0.2439708325
638	0.2437625634
639	0.2430386799
640	0.242973411
641	0.2428183021
642	0.242576264
643	0.2422898017
644	0.2418608825
645	0.241178248
646	0.2408920525
647	0.2402386689
648	0.2395876727
649	0.2392722103
650	0.2390120969
651	0.2386874931
652	0.2382034603
653	0.2377746426
654	0.2374552996
655	0.2369634661
656	0.2368351207
657	0.236446834
658	0.2360882404
659	0.2357941309
660	0.2354441444
661	0.2349827104
662	0.2348028449
663	0.2343050627
664	0.2339518968
665	0.2335557308
666	0.2331057392
667	0.2327684229
668	0.2323986044
669	0.2323816105
670	0.2316963726
671	0.2314720473
672	0.231235132
673	0.2312142944
674	0.2306184819
675	0.2301399938
676	0.2296991798
677	0.2293609869
678	0.2290871278
679	0.2286895626
680	0.2283807921
681	0.2281744161
682	0.2278823511
683	0.2275999034
684	0.2272012159
685	0.2269908858
686	0.2266713085
687	0.2263243829
688	0.2258901808
689	0.2255885865
690	0.225379162
691	0.2250410546
692	0.224490216
693	0.2239444568
694	0.223594524
695	0.2232427183
696	0.2230744375
697	0.2226559469
698	0.2223712565
699	0.2221699582
700	0.2218943715
701	0.2214162943
702	0.2214005202
703	0.2211983796
704	0.2208930499
705	0.2205319298
706	0.2201819142
707	0.2197506098
708	0.219178147
709	0.2189167584
710	0.2184195863
711	0.2181703326
712	0.2177967288
713	0.2173211272
714	0.2172054268
715	0.2171900287
716	0.2170134211
717	0.2165495499
718	0.216129712
719	0.2158972085
720	0.215671923
721	0.2153779585
722	0.2150066861
723	0.2146705986
724	0.2144736329
725	0.2141968969
726	0.2136739162
727	0.2133750804
728	0.2130409614
729	0.2126360962
730	0.2124479541
731	0.212279925
732	0.2117508208
733	0.2113615265
734	0.2110102884
735	0.2109539308
736	0.2106615057
737	0.2102967758
738	0.210014842
739	0.209815268
740	0.2094856146
741	0.2091689287
742	0.2087322522
743	0.2081898539
744	0.2077073428
745	0.207472834
746	0.2072717367
747	0.206949916
748	0.206701103
749	0.206476334
750	0.2062065167
751	0.2060296362
752	0.2057194118
753	0.2055711244
754	0.2053470786
755	0.2050746297
756	0.2046853381
757	0.2044845062
758	0.203957267
759	0.2037500034
760	0.2036155264
761	0.203304011
762	0.2028824632
763	0.2025632402
764	0.2020395299
765	0.2017543646
766	0.2015091436
767	0.2013525738
768	0.2011222519
769	0.2007590482
770	0.2004637478
771	0.200244947
772	0.2001021656
773	0.1998936335
774	0.1996879279
775	0.1995500733
776	0.1993893431
777	0.1990240494
778	0.1989499686
779	0.1987083674
780	0.1985514868
781	0.1984704983
782	0.1982679137
783	0.1980982628
784	0.1977944403
785	0.1974827106
786	0.1973629227
787	0.1971907453
788	0.1969546904
789	0.1967734367
790	0.1965865126
791	0.1963470225
792	0.1961310267
793	0.1957821061
794	0.1952835728
795	0.195074882
796	0.1947056794
797	0.1944509171
798	0.1943379611
799	0.1939240826
800	0.1937079016
801	0.1935575564
802	0.1929903415
803	0.1929071425
804	0.1925397108
805	0.1922037614
806	0.1919669178
807	0.1918197354
808	0.1915563046
809	0.1913701941
810	0.1911497763
811	0.1908566016
812	0.1905372316
813	0.1903462786
814	0.1901293442
815	0.1897742336
816	0.1895585837
817	0.1893333293
818	0.1889443725
819	0.1886639286
820	0.1885424211
821	0.1883347083
822	0.1880352693
823	0.1877131186
824	0.1874872812
825	0.187261724
826	0.1870728199
827	0.1867247707
828	0.186573445
829	0.1862583823
830	0.1860571764
831	0.1859535657
832	0.185724361
833	0.1855280978
834	0.1853793795
835	0.1853341486
836	0.1851439236
837	0.1847243398
838	0.1844350234
839	0.1841966353
840	0.1840032405
841	0.1838958533
842	0.1837474775
843	0.1835752318
844	0.1835076041
845	0.1833423395
846	0.1832686112
847	0.1831186683
848	0.1827655145
849	0.1825051995
850	0.1823009439
851	0.182163276
852	0.1818169378
853	0.1814534393
854	0.1812052752
855	0.1810895582
856	0.1810238628
857	0.18068607
858	0.1804538135
859	0.1803526884
860	0.180167198
861	0.1799918298
862	0.1797373817
863	0.1795384285
864	0.1790480291
865	0.1787380297
866	0.1784386172
867	0.1783279115
868	0.1781389584
869	0.1779704129
870	0.1777145454
871	0.1775750747
872	0.1772790214
873	0.1770952422
874	0.1768423088
875	0.1767696684
876	0.1764695906
877	0.176453838
878	0.1761655419
879	0.1760000497
880	0.1756892957
881	0.1755283102
882	0.1753709778
883	0.1752045661
884	0.1751925909
885	0.1750621378
886	0.1748282422
887	0.174681294
888	0.1746206594
889	0.1745995115
890	0.1743005426
891	0.1740186417
892	0.1738710687
893	0.1733698727
894	0.1733559517
895	0.1732133196
896	0.172738661
897	0.1726286061
898	0.1722429465
899	0.1720784129
900	0.1718479417
901	0.1717353802
902	0.1715154417
903	0.1713564806
904	0.171229759
905	0.1708147207
906	0.1707134773
907	0.1706583792
908	0.1704694046
909	0.1703202352
910	0.1701640636
911	0.1697640137
912	0.1693564561
913	0.1689363974
914	0.1688886109
915	0.1688016664
916	0.16867776
917	0.1684874858
918	0.1683973868
919	0.1683865613
920	0.1681214734
921	0.1677424448
922	0.1675840984
923	0.1674253324
924	0.1674133327
925	0.1674024201
926	0.1673910635
927	0.1670235529
928	0.1668999061
929	0.1664650582
930	0.1663554889
931	0.1663414922
932	0.1663303017
933	0.1661652221
934	0.1658898874
935	0.1657613719
936	0.1655608146
937	0.1655511124
938	0.1654852352
939	0.1654132021
940	0.1652399859
941	0.1648201908
942	0.1646523526
943	0.1643456984
944	0.1641685644
945	0.1638630924
946	0.1635679742
947	0.1634101105
948	0.1631977677
949	0.1631870118
950	0.1629631456
951	0.1629525136
952	0.162789081
953	0.1625930858
954	0.1624275944
955	0.1622986357
956	0.1620280302
957	0.1619671245
958	0.1618049705
959	0.1617954799
960	0.1616594047
961	0.1615458601
962	0.161425874
963	0.1614166172
964	0.1614056734
965	0.1613930634
966	0.1613839974
967	0.1613280681
968	0.1611443434
969	0.1608108679
970	0.1606712083
971	0.1603656086
972	0.1602250061
973	0.1601180333
974	0.1599009313
975	0.1595451942
976	0.1594397837
977	0.1593940373
978	0.159273699
979	0.15900715
980	0.1588808376
981	0.1588179584
982	0.1588090565
983	0.1586395091
984	0.1584049041
985	0.1582836718
986	0.1581457566
987	0.1579064233
988	0.1577789816
989	0.1576647115
990	0.1574748569
991	0.1573292748
992	0.1571476983
993	0.1569973509
994	0.1569024563
995	0.156892924
996	0.156659919
997	0.1565027766
998	0.1563505138
999	0.1562293345
